Rank,University,Overall Score,ACADEMIC REPUTATION,EMPLOYER REPUTATION,FACULTY STUDENT,INTERNATIONAL FACULTY,INTERNATIONAL STUDENTS,CITATIONS PER FACULTY,Region
1,"University of California, Berkeley (UCB)",100,100,100,100,100,100,100,USA
2,Massachusetts Institute of Technology (MIT),100,99.8,94.1,100,100,100,100,USA
3,Stanford University,98.4,98.6,67.7,99.8,100,100,100,USA
4,Harvard University,97.4,99.6,62.2,86.3,98.7,100,100,USA
5,University of Oxford,97.2,84.7,98.5,99.7,100,100,100,UK
6,California Institute of Technology (Caltech),96.9,100,87.3,99.4,100,81.2,97.8,USA
7,ETH Zurich - Swiss Federal Institute of Technology,95.9,98.4,98,100,85,96.7,98.4,Switzerland
8,University of Cambridge,95,74.2,97.6,100,100,100,100,UK
9,UCL,94.8,76.7,100,99.1,98.1,98.7,99.3,UK
10,Imperial College London,94.1,72.1,100,100,99.8,99.9,98.6,UK
11,University of Chicago,92,78.5,81,70.2,96.5,93.7,99.5,USA
11,"Nanyang Technological University, Singapore (NTU)",91.8,88.8,74.2,100,93.9,93.8,92.1,Singapore
11,National University of Singapore (NUS),91.8,75.7,76.4,100,88.3,99.2,99.8,Singapore
13,Princeton University,90.9,100,67.6,64.9,70.7,98.6,99.9,USA
14,Cornell University,89.3,95.1,72.3,93.8,65.7,90.4,98.7,USA
15,University of Pennsylvania,88.9,67.6,63.6,84,100,93.7,95.8,USA
16,Tsinghua University,88.6,80.4,30.1,68,92.4,99.1,97.4,China
17,Yale University,87.7,53.5,57.4,78.1,100,99.9,99.9,USA
18,Columbia University,87.4,53,96.9,40.1,100,97.6,99.7,USA
18,EPFL,87.4,98.9,100,100,96.6,77.6,75.6,Switzerland
20,The University of Edinburgh,86.2,53,98.6,98,85.6,93.7,97.5,UK
21,University of Michigan-Ann Arbor,86,61.6,44.1,79.7,91,94.4,98.9,USA
22,Peking University,84.3,73,36.9,70.7,72.3,99.6,99.1,China
22,The University of Tokyo,84.3,67.9,26.2,11.1,93.3,99.1,100,Japan
24,Johns Hopkins University,83.9,77.6,81.5,68.8,100,52.6,88.3,USA
25,Duke University,83.8,80.3,59.3,12.4,99.4,84.2,89,UK
25,The University of Hong Kong,83.8,44.5,99.1,100,87.2,82.6,97.3,China
27,The University of Manchester,82.7,51.5,98.6,92.6,74.1,97.7,94.9,UK
28,"University of California, Los Angeles (UCLA)",80.4,88.3,38.2,50.4,40.6,99.7,100,USA
... (rest of rows unchanged)
